gnome-bluetooth 3.34.3-1
gnome-common 3.18.0-4
gnome-desktop 1:3.38.3-1
gnome-disk-utility 3.38.1-1
gnome-keyring 1:3.36.0-3
gnome-multi-writer 3.32.1-2
gnome-online-accounts 3.38.0-1
gnome-session 3.38.0+14+g87d92fec-1
gnome-settings-daemon 3.38.1-1
gnome-shell 1:3.38.3-1
gnome-themes-extra 3.28-2
gnome-tweaks 3.34.1-1
gnucash 4.4-1
gnupg 2.2.26-1
gnutls 3.7.0-1
go 2:1.15.6-1
gobject-introspection 1.66.1-3
gobject-introspection-runtime 1.66.1-3
gparted 1.1.0-1
gperf 3.1-3
gperftools 2.8.1-1
gpgme 1.15.1-1
gpm 1.20.7.r38.ge82d1a6-3
gptfdisk 1.0.6-1
grantlee 5.2.0-3
grantleetheme 20.12.1-1
graphene 1.10.2-1
graphite 1:1.3.14-1
graphviz 2.44.1-6
grep 3.6-1
groff 1.22.4-3
grub 2:2.04-8
gsettings-desktop-schemas 3.38.0-1
gsfonts 20200910-1
gsl 2.6-2
gsm 1.0.19-1
gsound 1.0.2-5
gspell 1.8.4-1
gssdp 1.2.3-1
gst-libav 1.18.3-1
gst-plugin-gtk 1.18.3-1
gst-plugin-pipewire 0.3.19-1
gst-plugins-bad 1.18.3-1
gst-plugins-bad-libs 1.18.3-1
gst-plugins-base 1.18.3-1
gst-plugins-base-libs 1.18.3-1
gst-plugins-good 1.18.3-1
gst-plugins-ugly 1.18.3-1
gst-python 1.18.3-1
gstreamer 1.18.3-1
gstreamermm 1.10.0-2
gthumb 3.10.1-1
gtk-doc 1.33.1-1
gtk-layer-shell 0.5.2-1
gtk-update-icon-cache 1:4.0.1-2
gtk2 2.24.33-1
gtk3 1:3.24.24-2
gtkmm 1:2.24.5-4
gtkmm3 3.24.3-1
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.0-1
gtkspell 2.0.16-8
gtkspell3 3.0.10-2
gts 0.7.6.121130-2
guile 2.2.6-2
guile2.0 2.0.14-4
gupnp 1.2.4-1
gupnp-igd 1.2.0-1
gvfs 1.46.2-1
gvim 8.2.2347-1
gwenhywfar 5.4.1-1
gzip 1.10-3
harfbuzz 2.7.4-1
harfbuzz-icu 2.7.4-1
haskell-aeson 1.5.5.1-4
haskell-aeson-compat 0.3.9-169
haskell-aeson-pretty 0.8.8-115
haskell-annotated-wl-pprint 0.7.0-21
haskell-ansi-terminal 0.11-50
haskell-ansi-wl-pprint 0.6.9-110
haskell-asn1-encoding 0.9.6-75
haskell-asn1-parse 0.9.5-75
haskell-asn1-types 0.3.4-54
haskell-assoc 1.0.2-44
haskell-async 2.2.2-73
haskell-attoparsec 0.13.2.4-53
haskell-attoparsec-iso8601 1.0.2.0-5
haskell-auto-update 0.1.6-119
haskell-base-compat 0.11.2-3
haskell-base-compat-batteries 0.11.2-43
haskell-base-orphans 0.8.4-33
haskell-base-prelude 1.4-4
haskell-base16-bytestring 1.0.1.0-13
haskell-base64-bytestring 1.2.0.1-20
haskell-basement 0.0.11-9
haskell-bifunctors 5.5.9-8
haskell-bindings-uname 0.1-18
haskell-bitarray 0.0.1.1-19
haskell-blaze-builder 0.4.1.0-15
haskell-blaze-html 0.9.1.2-74
haskell-blaze-markup 0.8.2.7-44
haskell-byteable 0.1.1-21
haskell-call-stack 0.2.0-84
haskell-casa-client 0.0.1-183
haskell-casa-types 0.0.2-27
haskell-case-insensitive 1.2.1.0-56
haskell-cereal 0.5.8.1-8
haskell-citeproc 0.3.0.1-1
haskell-clock 0.8-8
haskell-cmark-gfm 0.2.2-32
haskell-cmdargs 0.10.20-15
haskell-colour 2.3.5-108
haskell-commonmark 0.1.1.3-1
haskell-commonmark-extensions 0.2.0.4-19
haskell-commonmark-pandoc 0.2.0.1-51
haskell-comonad 5.0.8-10
haskell-conduit 1.3.4-22
haskell-conduit-extra 1.3.5-89
haskell-connection 0.3.1-84
haskell-constraints 0.12-54
haskell-contravariant 1.5.3-1
haskell-cookie 0.4.5-8
haskell-cryptohash 0.11.9-185
haskell-cryptohash-sha256 0.11.101.0-35
haskell-cryptonite 0.27-49
haskell-cryptonite-conduit 0.2.2-336
haskell-data-default 0.7.1.1-104
haskell-data-default-class 0.1.2.0-20
haskell-data-default-instances-containers 0.0.1-32
haskell-data-default-instances-dlist 0.0.1-117
haskell-data-default-instances-old-locale 0.0.1-32
haskell-data-fix 0.3.0-44
haskell-digest 0.0.1.2-21
haskell-distributive 0.6.2.1-11
haskell-dlist 1.0-40
haskell-doclayout 0.3-62
haskell-doctemplates 0.9-1
haskell-easy-file 0.2.2-15
haskell-echo 0.1.3-18
haskell-ed25519 0.0.5.0-20
haskell-either 5.0.1.1-114
haskell-emojis 0.1-64
haskell-enclosed-exceptions 1.0.3-103
haskell-erf 2.0.0.0-20
haskell-errors 2.3.0-58
haskell-extra 1.7.9-15
haskell-fast-logger 3.0.2-33
haskell-file-embed 0.0.13.0-2
haskell-filelock 0.1.1.5-45
haskell-filtrable 0.1.6.0-36
haskell-free 5.1.6-1
haskell-fsnotify 0.3.0.1-159
haskell-generic-deriving 1.14-30
haskell-githash 0.1.5.0-52
haskell-glob 0.10.1-45
haskell-hackage-security 0.6.0.1-149
haskell-haddock-library 1.9.0-83
haskell-hashable 1.3.0.0-69
haskell-hi-file-parser 0.1.0.0-96
haskell-hinotify 0.4.1-24
haskell-hourglass 0.2.12-99
haskell-hpack 0.34.3-24
haskell-hslua 1.3.0-22
haskell-hslua-module-system 0.2.2.1-38
haskell-hslua-module-text 0.3.0.1-26
haskell-hspec 2.7.6-5
haskell-hspec-core 2.7.6-5
haskell-hspec-discover 2.7.6-3
haskell-hspec-expectations 0.8.2-105
haskell-hspec-smallcheck 0.5.2-129
haskell-hsyaml 0.2.1.0-69
haskell-http 4000.3.15-76
haskell-http-api-data 0.4.3-2
haskell-http-client 0.7.4-1
haskell-http-client-tls 0.3.5.3-361
haskell-http-conduit 2.3.7.4-32
haskell-http-download 0.2.0.0-197
haskell-http-types 0.12.3-118
haskell-hunit 1.6.1.0-29
haskell-hxt 9.3.1.18-201
haskell-hxt-charproperties 9.4.0.0-8
haskell-hxt-regex-xmlschema 9.2.0.3-24
haskell-hxt-unicode 9.0.2.4-20
haskell-indexed-traversable 0.1.1-2
haskell-infer-license 0.2.0-100
haskell-integer-logarithms 1.0.3.1-2
haskell-ipynb 0.1.0.1-149
haskell-jira-wiki-markup 1.3.2-44
haskell-juicypixels 3.3.5-54
haskell-lexer 1.1-7
haskell-libyaml 0.1.2-95
haskell-lifted-async 0.10.1.2-83
haskell-lifted-base 0.2.3.12-117
haskell-logict 0.7.0.3-47
haskell-lukko 0.1.1.2-56
haskell-megaparsec 9.0.1-15
haskell-memory 0.15.0-66
haskell-microlens 0.4.12.0-1
haskell-microlens-mtl 0.2.0.1-11
haskell-microlens-th 0.4.3.9-1
haskell-mime-types 0.1.0.9-10
haskell-mintty 0.1.2-14
haskell-monad-control 1.0.2.3-117
haskell-monad-logger 0.3.36-24
haskell-monad-loops 0.4.3-21
haskell-mono-traversable 1.0.15.1-93
haskell-mustache 2.3.1-248
haskell-neat-interpolation 0.5.1.2-63
haskell-network 3.1.2.1-18
haskell-network-uri 2.6.3.0-220
haskell-old-locale 1.0.0.7-26
haskell-old-time 1.1.0.3-26
haskell-only 0.1-18
haskell-open-browser 0.2.1.0-22
haskell-optparse-applicative 0.16.1.0-38
haskell-optparse-generic 1.4.4-21
haskell-optparse-simple 0.1.1.3-90
haskell-pandoc-types 1.22-34
haskell-pantry 0.5.1.4-58
haskell-parser-combinators 1.2.1-8
haskell-path 0.8.0-78
haskell-path-io 1.6.2-34
haskell-path-pieces 0.2.1-26
haskell-pem 0.2.4-131
haskell-persistent 2.11.0.2-26
haskell-persistent-sqlite 2.11.0.0-45
haskell-persistent-template 2.9.1.0-40
haskell-pretty-show 1.10-7
haskell-primitive 0.7.1.0-62
haskell-profunctors 5.6.1-2
haskell-project-template 0.2.1.0-65
haskell-quickcheck 2.14.2-62
haskell-quickcheck-io 0.2.0-215
haskell-random 1.2.0-108
haskell-regex-applicative 0.3.4-46
haskell-regex-applicative-text 0.1.0.1-66
haskell-regex-base 0.94.0.0-7
haskell-regex-pcre 0.95.0.0-7
haskell-resource-pool 0.2.3.2-146
haskell-resourcet 1.2.4.2-48
haskell-retry 0.8.1.2-68
haskell-rio 0.1.19.0-35
haskell-rio-orphans 0.1.1.0-212
haskell-rio-prettyprint 0.1.1.0-65
haskell-safe 0.3.19-4
haskell-safe-exceptions 0.1.7.1-38
haskell-scientific 0.3.6.2-70
haskell-semigroupoids 5.3.5-2
haskell-setenv 0.1.1.3-21
haskell-sha 1.6.4.4-15
haskell-shelly 1.9.0-33
haskell-silently 1.2.5.1-9
haskell-skylighting 0.10.2-1
haskell-skylighting-core 0.10.2-1
haskell-smallcheck 1.2.0-55
haskell-socks 0.6.1-76
haskell-split 0.2.3.4-98
haskell-splitmix 0.1.0.3-38
haskell-statevar 1.2.1-1
haskell-stm-chans 3.0.0.4-23
haskell-store 0.7.9-15
haskell-store-core 0.4.4.4-18
haskell-streaming-commons 0.2.2.1-45
haskell-strict 0.4.0.1-18
haskell-syb 0.7.1-8
haskell-system-fileio 0.3.16.4-94
haskell-system-filepath 0.4.14-99
haskell-tagged 0.8.6.1-1
haskell-tagsoup 0.14.8-79
haskell-tar 0.5.1.1-25
haskell-tar-conduit 0.3.2-152
haskell-temporary 1.3-176
haskell-terminal-size 0.3.2.1-20
haskell-texmath 0.12.1-9
haskell-text-conversions 0.3.1-34
haskell-text-icu 0.7.0.1-36
haskell-text-metrics 0.3.0-102
haskell-tf-random 0.5-170
haskell-th-abstraction 0.4.2.0-1
haskell-th-compat 0.1-29
haskell-th-expand-syns 0.4.6.0-5
haskell-th-lift 0.8.2-6
haskell-th-lift-instances 0.1.18-18
haskell-th-orphans 0.13.11-32
haskell-th-reify-many 0.1.9-14
haskell-th-utilities 0.2.4.1-18
haskell-these 1.1.1.1-45
haskell-time-compat 1.9.5-18
haskell-time-locale-compat 0.1.1.5-13
haskell-tls 1.5.4-64
haskell-transformers-base 0.4.5.2-115
haskell-transformers-compat 0.6.6-2
haskell-type-equality 1-8
haskell-typed-process 0.2.6.0-80
haskell-unicode-transforms 0.3.7.1-28
haskell-uniplate 1.6.13-21
haskell-unix-compat 0.5.2-8
haskell-unix-time 0.4.7-81
haskell-unliftio 0.2.13.1-50
haskell-unliftio-core 0.2.0.1-5
haskell-unordered-containers 0.2.13.0-28
haskell-utf8-string 1.0.2-3
haskell-uuid-types 1.0.3-75
haskell-vector 0.12.1.2-103
haskell-vector-algorithms 0.8.0.4-18
haskell-void 0.7.3-56
haskell-x509 1.7.5-109
haskell-x509-store 1.6.7-108
haskell-x509-system 1.6.6-176
haskell-x509-validation 1.6.11-108
haskell-xml 1.3.14-26
haskell-xml-conduit 1.9.0.0-96
haskell-xml-types 0.3.8-4
haskell-yaml 0.11.5.0-63
haskell-zip-archive 0.4.1-83
haskell-zlib 0.6.2.2-4
hdf5 1.12.0-2
heimdall 1.4.2-3
help2man 1.47.16-1
hicolor-icon-theme 0.17-2
hidapi 0.10.1-1
highlight 3.60-1
hspell 1.4-3
htop 3.0.5-1
http-parser 2.9.4-1
hunspell 1.7.0-3
hunspell-en_US 2019.10.06-1
hwids 20200813.1-1
hwloc 2.4.0-1
hyphen 2.8.8-3
i3-gaps 4.19-1
i3blocks 1.5-3
i3lock 2.13-1
i3status 2.13-3
i7z 0.27.2.git1-8
iana-etc 20201229-1
icedtea-web 1.8.3-2
icu 68.2-1
ijs 0.35-3
imagemagick 7.0.10.57-1
imlib2 1.7.1-1
inetutils 1.9.4-8
iniparser 4.1-3
inkscape 1.0.1-4
intel-gmmlib 20.4.1-1
intel-media-driver 20.4.5-1
intel-media-sdk 20.5.1-1
intel-ucode 20201118-1
inter-font 3.15-1
intltool 0.51.0-6
iproute2 5.10.0-2
iptables 1:1.8.6-1
iputils 20200821-1
iso-codes 4.5.0-1
isync 1.3.3-1
itstool 1:2.0.6-2
iw 5.9-1
iwd 1.11-1
jack 0.125.0-9
janet-lang 1.13.1-1
jansson 2.13.1-1
jasper 2.0.19-1
java-environment-common 3-3
java-runtime-common 3-3
jbig2dec 0.19-1
jdk-openjdk 15.0.1.u9-1
jdk11-openjdk 11.0.10.u8-2
jdk8-openjdk 8.u275-1
jemalloc 1:5.2.1-3
jfsutils 1.1.15-7
john 1.9.0.jumbo1-5
joplin-desktop 1.5.14-1
jq 1.6-4
jre 15.0.1-1
jre-openjdk 15.0.1.u9-1
jre-openjdk-headless 15.0.1.u9-1
jre11-openjdk 11.0.10.u8-2
jre11-openjdk-headless 11.0.10.u8-2
jre8-openjdk 8.u275-1
jre8-openjdk-headless 8.u275-1
js52 52.9.0-4
js60 60.9.0-2
js68 68.12.0-1
js78 78.6.0-1
json-c 0.15-1
json-glib 1.6.0-1
jsoncpp 1.9.4-1
juk 20.12.1-1
jxrlib 0.2.1-3
kaccounts-integration 20.12.1-1
kactivities 5.78.0-1
kactivities-stats 5.78.0-1
kactivitymanagerd 5.20.5-1
kakoune 2020.09.01-1
kalarmcal 20.12.1-1
kamoso 20.12.1-1
karchive 5.78.0-1
kate 20.12.1-1
kauth 5.78.0-1
kbd 2.3.0-2
kbookmarks 5.78.0-1
kcachegrind-common 20.12.1-1
kcalc 20.12.1-1
kcalendarcore 5.78.0-1
kcalutils 20.12.1-1
kcmutils 5.78.0-1
kcodecs 5.78.0-1
kcolorchooser 20.12.1-1
kcolorpicker 0.1.4-3
kcompletion 5.78.0-1
kconfig 5.78.0-1
kconfigwidgets 5.78.0-1
kcontacts 1:5.78.0-1
kcoreaddons 5.78.0-1
kcrash 5.78.0-1
kdav 1:5.78.0-1
kdbusaddons 5.78.0-1
kde-cli-tools 5.20.5-1
kdeclarative 5.78.0-1
kdecoration 5.20.5-1
kded 5.78.0-1
kdelibs4support 5.78.0-1
kdepim-apps-libs 20.08.3-1
kdepim-runtime 20.12.1-1
kdesu 5.78.0-1
kdevelop 5.6.1-2
kdiff3 1.8.4-1
kdnssd 5.78.0-1
kdsoap 1.10.0-1
kdsoap-ws-discovery-client git20200927-1
keditbookmarks 20.12.1-1
keepassxc 2.6.3-1
kemoticons 5.78.0-1
keyutils 1.6.3-1
kfilemetadata 5.78.0-1
kfind 20.12.1-1
kglobalaccel 5.78.0-1
kguiaddons 5.78.0-1
kholidays 1:5.78.0-1
khtml 5.78.0-1
ki18n 5.78.0-1
kicad 5.1.9-1
kicad-library 5.1.9-1
kiconthemes 5.78.0-1
kidentitymanagement 20.12.1-1
kidletime 5.78.0-1
kimageannotator 0.4.0-1
kimap 20.12.1-1
kinit 5.78.0-1
kio 5.78.0-2
kio-extras 20.12.1-1
kirigami2 5.78.0-1
kitemmodels 5.78.0-1
kitemviews 5.78.0-1
kjobwidgets 5.78.0-1
kjs 5.78.0-1
kjsembed 5.78.0-1
kldap 20.12.1-1
kmail 20.12.1-1
kmail-account-wizard 20.12.1-1
kmailtransport 20.12.1-1
kmbox 20.12.1-1
kmime 20.12.1-1
kmix 20.12.1-1
kmod 28-1
knewstuff 5.78.0-1
knotifications 5.78.0-1
knotifyconfig 5.78.0-1
kodi 18.9-3
kodi-x11 18.9-3
konqueror 20.12.1-1
kontact 20.12.1-1
kontactinterface 20.12.1-1
kpackage 5.78.0-1
kparts 5.78.0-1
kpeople 5.78.0-1
kphotoalbum 5.7.0-3
kpimtextedit 20.12.1-1
kpty 5.78.0-1
kquickcharts 5.78.0-1
krb5 1.18.2-1
krdc 20.12.1-1
krfb 20.12.1-1
kross 5.78.0-1
krunner 5.78.0-1
kscreenlocker 5.20.5-1
kservice 5.78.0-1
ksmtp 20.12.1-1
ktexteditor 5.78.0-1
ktextwidgets 5.78.0-1
ktnef 20.12.1-1
ktoblzcheck 1.52-3
kunitconversion 5.78.0-1
kuserfeedback 1.0.0-1
kwallet 5.78.0-1
kwayland 5.78.0-1
kwayland-server 5.20.5-1
kwidgetsaddons 5.78.0-1
kwin 5.20.5-1
kwindowsystem 5.78.0-1
kxmlgui 5.78.0-1
kyotocabinet 1.2.78-1
l-smash 2.14.5-2
ladspa 1.15-2
lame 3.100-3
lapack 3.9.0-3
lcms2 2.11-2
ldb 1:2.2.0-3
ldns 1.7.1-2
lensfun 0.3.95-4
less 563-1
leveldb 1.22-2
lib3mf-1 1.8.1-5
libabw 0.1.3-2
libaccounts-glib 1.25-3
libaccounts-qt 1.16-2
libaec 1.0.4-1
libaio 0.3.112-2
libakonadi 20.12.1-1
libappimage 1.0.3-3
libappindicator-gtk3 12.10.0.r296-1
libarchive 3.5.1-1
libass 0.15.0-2
libassuan 2.5.4-1
libasyncns 0.8+3+g68cd5af-3
libatasmart 0.19-5
libatomic_ops 7.6.10-2
libavc1394 0.5.4-4
libavtp 0.1.0-2
libblockdev 2.24-3
libbluray 1.2.1-1
libbs2b 3.1.0-7
libbsd 0.10.0-2
libburn 1.5.2-2
libbytesize 2.4-3
libcaca 0.99.beta19-3
libcacard 2.7.0-2
libcanberra 0.30+2+gc0620e4-3
libcanberra-pulse 0.30+2+gc0620e4-3
libcap 2.46-1
libcap-ng 0.8.2-1
libcddb 1.3.2-6
libcdio 2.1.0-2
libcdio-paranoia 10.2+2.0.1-2
libcdr 0.1.6-3
libcec 6.0.2-1
libchamplain 0.12.20-2
libclc 11.0.1-1
libcloudproviders 0.3.1-2
libcmis 0.5.2-6
libconfig 1.7.2-3
libcroco 0.6.13-2
libcryptui 3.12.2+55+ged3b12af-1
libcue 2.2.1-2
libcups 1:2.3.3op1-1
libcurl-compat 7.74.0-1
libdaemon 0.14-5
libdatrie 0.2.12-2
libdbi 0.9.0-5
libdbusmenu-glib 16.04.0-4
libdbusmenu-gtk3 16.04.0-4
libdbusmenu-qt5 0.9.3+16.04.20160218-5
libdc1394 2.2.6-2
libdca 0.0.7-1
libde265 1.0.8-1
libdmtx 0.7.5-2
libdrm 2.4.104-1
libdv 1.0.0-9
libdvbpsi 1:1.3.3-2
libdvdnav 6.1.0-2
libdvdread 6.1.1-1
libe-book 0.1.3-8
libebml 1.4.1-1
libedit 20191231_3.1-2
libelf 0.182-1
libepoxy 1.5.5-1
libepubgen 0.1.1-2
libetonyek 0.1.9-2
libetpan 1.9.4-3
libev 4.33-1
libevdev 1.10.1-1
libevent 2.1.12-1
libexif 0.6.22-1
libexttextcat 3.4.5-2
libfakekey 0.3-2
libfbclient 3.0.6.33328-1
libfdk-aac 2.0.1-2
libffi 3.3-4
libfontenc 1.1.4-3
libfprint 1.90.6-1
libfreehand 0.1.2-3
libftdi 1.5-1
libgadu 1.12.2-13
libgcrypt 1.8.7-1
libgdata 0.17.13-1
libgdm 3.38.2.1-1
libgee 0.20.3-2
libgexiv2 0.12.1-4
libgit2 1:1.1.0-1
libglade 2.6.4-7
libglvnd 1.3.2-1
libgme 0.6.3-1
libgnome-keyring 3.12.0+13+g4f8ab73-3
libgpg-error 1.41-1
libgphoto2 2.5.26-1
libgpod 0.8.3-11
libgravatar 20.12.1-1
libgsf 1.14.47-1
libgssglue 0.4-4
libgtop 2.40.0+2+g31db82ef-2
libgudev 234-1
libguess 1.2-3
libgusb 0.3.5-1
libgweather 3.36.1-1
libhandy 1.0.3-1
libhandy0 0.0.13+12+gaa6b6f4-2
libheif 1.10.0-1
libibus 1.5.23+3+gaa558de8-2
